Id,Class
1,0.106818
2,0.034178
3,0.053896
4,0.968838
5,0.037398
6,0.044932
7,0.029177
8,0.036666
9,0.034099
10,0.025116
11,0.033728
12,0.035734
13,0.030240
14,0.039636
15,0.028787
16,0.315312
17,0.046838
18,0.296916
19,0.031159
20,0.294545
21,0.040117
22,0.025538
23,0.030706
24,0.054554
25,0.410837
26,0.051694
27,0.098648
28,0.137590
29,0.070379
30,0.071765
31,0.073570
32,0.155727
33,0.166241
34,0.041471
35,0.046526
36,0.028255
37,0.039603
38,0.035854
39,0.034637
40,0.034968
41,0.254487
42,0.042967
43,0.074559
44,0.028799
45,0.035442
46,0.039684
47,0.073964
48,0.045176
49,0.062766
50,0.096359
51,0.051083
52,0.079599
53,0.086440
54,0.030372
55,0.043907
56,0.072004
57,0.040519
58,0.055280
59,0.021290
60,0.117359
61,0.065363
62,0.034700
63,0.080250
64,0.042600
65,0.067875
66,0.050570
67,0.055443
68,0.094016
69,0.066385
70,0.022261
71,0.062972
72,0.831631
73,0.054199
74,0.033331
75,0.372916
76,0.081522
77,0.045917
78,0.099939
79,0.225908
80,0.037127
81,0.035118
82,0.029176
83,0.048950
84,0.059004
85,0.175037
86,0.813831
87,0.068999
88,0.062759
89,0.028480
90,0.089623
91,0.090045
92,0.071145
93,0.085252
94,0.033731
95,0.022276
96,0.029434
97,0.022108
98,0.276960
99,0.035196
100,0.053305
101,0.194974
102,0.031015
103,0.042725
104,0.087418
105,0.031773
106,0.619064
107,0.316960
108,0.108149
109,0.048695
110,0.355013
111,0.068315
112,0.044592
113,0.047004
114,0.237507
115,0.134647
116,0.034218
117,0.040336
118,0.050240
119,0.061137
120,0.026482
121,0.080034
122,0.039083
123,0.036108
124,0.127681
125,0.026945
126,0.062293
127,0.023476
128,0.490619
129,0.027638
130,0.156028
131,0.083729
132,0.093825
133,0.512042
134,0.039632
135,0.061775
136,0.036876
137,0.042056
138,0.043876
139,0.057729
140,0.050579
141,0.112255
142,0.332330
143,0.038697
144,0.068694
145,0.038143
146,0.045995
147,0.548452
148,0.125204
149,0.406924
150,0.038359
151,0.037909
152,0.022787
153,0.041060
154,0.056917
155,0.108322
156,0.041671
157,0.059486
158,0.548831
159,0.017958
160,0.027888
161,0.194960
162,0.069139
163,0.057365
164,0.181470
165,0.035564
166,0.060880
167,0.068520
168,0.022708
169,0.096714
170,0.035851
171,0.119415
172,0.065710
173,0.053248
174,0.038153
175,0.039655
176,0.049933
177,0.115231
178,0.035885
179,0.033490
180,0.188524
181,0.266758
182,0.038782
183,0.115080
184,0.372105
185,0.046120
186,0.031279
187,0.082315
188,0.421099
189,0.071613
190,0.067522
191,0.025112
192,0.034180
193,0.035956
194,0.060608
195,0.154645
196,0.055673
197,0.042786
198,0.071715
199,0.048023
200,0.035246
201,0.033653
202,0.156474
203,0.148282
204,0.036912
205,0.050460
206,0.073133
207,0.082189
208,0.091557
209,0.034008
210,0.047082
211,0.058148
212,0.622738
213,0.034755
214,0.062219
215,0.426875
216,0.023723
217,0.069068
218,0.034110
219,0.066150
220,0.416356
221,0.016127
222,0.043099
223,0.055913
224,0.177862
225,0.102259
226,0.047939
227,0.029710
228,0.061031
229,0.030774
230,0.630174
231,0.040872
232,0.073931
233,0.049641
234,0.059038
235,0.033015
236,0.040728
237,0.036525
238,0.070206
239,0.039864
240,0.030946
241,0.266213
242,0.206175
243,0.058602
244,0.509914
245,0.301938
246,0.048944
247,0.060065
248,0.032767
249,0.049091
250,0.144930
251,0.005590
252,0.312856
253,0.047249
254,0.030968
255,0.026727
256,0.200411
257,0.057120
258,0.052565
259,0.032805
260,0.075054
261,0.044379
262,0.089941
263,0.027277
264,0.432401
265,0.085466
266,0.072567
267,0.530804
268,0.064614
269,0.122199
270,0.032633
271,0.041598
272,0.668313
273,0.028263
274,0.042687
275,0.121066
276,0.024800
277,0.373787
278,0.046388
279,0.070568
280,0.044803
281,0.030662
282,0.045423
283,0.041396
284,0.177576
285,0.031502
286,0.041090
287,0.035382
288,0.032768
289,0.202172
290,0.077746
291,0.048145
292,0.060961
293,0.205542
294,0.031420
295,0.085324
296,0.062315
297,0.058787
298,0.034637
299,0.086651
300,0.084150
301,0.031240
302,0.151323
303,0.020806
304,0.043864
305,0.040125
306,0.033072
307,0.070597
308,0.323317
309,0.054072
310,0.085692
311,0.060232
312,0.036773
313,0.094135
314,0.074229
315,0.032165
316,0.238975
317,0.052081
318,0.032692
319,0.035960
320,0.039472
321,0.768588
322,0.214181
323,0.035818
324,0.044574
325,0.047035
326,0.045820
327,0.021157
328,0.124702
329,0.381790
330,0.035496
331,0.034306
332,0.025112
333,0.077251
334,0.320760
335,0.148491
336,0.722240
337,0.792774
338,0.102130
339,0.029481
340,0.057518
341,0.077964
342,0.028550
343,0.164361
344,0.042162
345,0.030178
346,0.060292
347,0.040769
348,0.042105
349,0.043702
350,0.031625
351,0.053653
352,0.041046
353,0.034766
354,0.057801
355,0.136319
356,0.062163
357,0.644319
358,0.396225
359,0.042969
360,0.044719
361,0.030003
362,0.038508
363,0.050408
364,0.015374
365,0.055604
366,0.047307
367,0.037892
368,0.043692
369,0.035842
370,0.050845
371,0.074427
372,0.030304
373,0.072301
374,0.252279
375,0.464695
376,0.060338
377,0.035382
378,0.035397
379,0.088728
380,0.063164
381,0.045254
382,0.149058
383,0.074745
384,0.033220
385,0.175718
386,0.070953
387,0.043529
388,0.024427
389,0.075687
390,0.081441
391,0.039117
392,0.061636
393,0.385464
394,0.083257
395,0.047446
396,0.316375
397,0.120557
398,0.034738
399,0.082782
400,0.722512
401,0.044194
402,0.040789
403,0.025086
404,0.073374
405,0.054764
406,0.028732
407,0.059144
408,0.029497
409,0.044520
410,0.045093
411,0.048196
412,0.031326
413,0.392828
414,0.567200
415,0.032381
416,0.044531
417,0.729761
418,0.121571
419,0.080203
420,0.136606
421,0.073049
422,0.032264
423,0.050356
424,0.077106
425,0.089772
426,0.042087
427,0.022871
428,0.039212
429,0.054096
430,0.073681
431,0.095418
432,0.067666
433,0.072632
434,0.085752
435,0.530637
436,0.025713
437,0.058183
438,0.063479
439,0.079819
440,0.041168
441,0.066569
442,0.066157
443,0.160357
444,0.060470
445,0.686488
446,0.087853
447,0.046261
448,0.081958
449,0.073358
450,0.277135
451,0.371344
452,0.064281
453,0.028654
454,0.036574
455,0.192917
456,0.218916
457,0.689760
458,0.094573
459,0.040653
460,0.090819
461,0.094828
462,0.107979
463,0.371023
464,0.034218
465,0.072889
466,0.026371
467,0.026173
468,0.032383
469,0.473457
470,0.438182
471,0.062235
472,0.024326
473,0.029051
474,0.625485
475,0.028457
476,0.032199
477,0.038656
478,0.025114
479,0.056610
480,0.075046
481,0.030519
482,0.039939
483,0.038832
484,0.275189
485,0.129419
486,0.456007
487,0.042769
488,0.061311
489,0.076808
490,0.601518
491,0.044430
492,0.077815
493,0.748813
494,0.532521
495,0.314102
496,0.065585
497,0.055103
498,0.065243
499,0.059983
500,0.592853
501,0.059729
502,0.043077
503,0.787736
504,0.057899
505,0.030666
506,0.024463
507,0.074036
508,0.033929
509,0.067692
510,0.034180
511,0.033756
512,0.073212
513,0.085252
514,0.531824
515,0.035278
516,0.052274
517,0.036693
518,0.030266
519,0.052019
520,0.071278
521,0.078531
522,0.030367
523,0.036261
524,0.071520
525,0.060265
526,0.062814
527,0.066995
528,0.057603
529,0.043844
530,0.039491
531,0.044093
532,0.064765
533,0.034791
534,0.090918
535,0.373998
536,0.568826
537,0.123483
538,0.069544
539,0.048061
540,0.031527
541,0.091816
542,0.029441
543,0.172637
544,0.024715
545,0.033912
546,0.073151
547,0.036574
548,0.177657
549,0.042358
550,0.091163
551,0.078334
552,0.055693
553,0.049368
554,0.030102
555,0.038700
556,0.141507
557,0.029671
558,0.035103
559,0.685602
560,0.032318
561,0.043616
562,0.052929
563,0.034070
564,0.062524
565,0.105237
566,0.060673
567,0.055405
568,0.042303
569,0.027601
570,0.328596
571,0.096643
572,0.021020
573,0.045707
574,0.064593
575,0.192770
576,0.144469
577,0.043180
578,0.105454
579,0.034111
580,0.026361
581,0.104854
582,0.028190
583,0.058808
584,0.081786
585,0.035382
586,0.057757
587,0.041471
588,0.029695
589,0.025700
590,0.040142
591,0.053443
592,0.039438
593,0.074312
594,0.235481
595,0.058871
596,0.035397
597,0.077907
598,0.046489
599,0.060393
600,0.058368
601,0.100438
602,0.040381
603,0.043200
604,0.390507
605,0.033847
606,0.025847
607,0.479199
608,0.691749
609,0.059998
610,0.034306
611,0.029502
612,0.063757
613,0.071730
614,0.036528
615,0.363063
616,0.065033
617,0.028835
618,0.032825
619,0.068175
620,0.022912
621,0.075994
622,0.036756
623,0.039284
624,0.025135
625,0.034905
626,0.049800
627,0.035053
628,0.047307
629,0.760692
630,0.034099
631,0.052926
632,0.052822
633,0.044395
634,0.115395
635,0.032409
636,0.035602
637,0.080641
638,0.035704
639,0.431019
640,0.088381
641,0.339477
642,0.065360
643,0.060200
644,0.031690
645,0.047331
646,0.108329
647,0.066306
648,0.076701
649,0.114421
650,0.151812
651,0.082391
652,0.051283
653,0.058122
654,0.030529
655,0.888592
656,0.055658
657,0.094083
658,0.057332
659,0.128153
660,0.053383
661,0.127606
662,0.038011
663,0.041471
664,0.032754
665,0.501362
666,0.068358
667,0.051619
668,0.026907
669,0.028604
670,0.107336
671,0.080019
672,0.033620
673,0.087180
674,0.036053
675,0.064467
676,0.087050
677,0.009669
678,0.664453
679,0.064957
680,0.596120
681,0.024907
682,0.052469
683,0.268806
684,0.145903
685,0.025703
686,0.032237
687,0.159935
688,0.028081
689,0.069187
690,0.039165
691,0.023100
692,0.029752
693,0.060114
694,0.049763
695,0.249250
696,0.045906
697,0.062163
698,0.013944
699,0.058614
700,0.040931
701,0.049359
702,0.439880
703,0.022547
704,0.039253
705,0.039539
706,0.085748
707,0.052094
708,0.066834
709,0.079826
710,0.048297
711,0.026309
712,0.021394
713,0.097452
714,0.032431
715,0.030257
716,0.049444
717,0.082095
718,0.034399
719,0.037275
720,0.034384
721,0.062806
722,0.032771
723,0.642026
724,0.030575
725,0.040668
726,0.047953
727,0.017147
728,0.066150
729,0.036035
730,0.260257
731,0.024612
732,0.540462
733,0.464198
734,0.039267
735,0.027093
736,0.027941
737,0.024849
738,0.050364
739,0.079250
740,0.027670
741,0.074009
742,0.085126
743,0.047045
744,0.051116
745,0.024937
746,0.070254
747,0.448846
748,0.113906
749,0.066300
750,0.682652
751,0.029577
752,0.041822
753,0.072901
754,0.038011
755,0.106852
756,0.057473
757,0.037944
758,0.052005
759,0.036287
760,0.049689
761,0.066070
762,0.025411
763,0.069523
764,0.112746
765,0.049328
766,0.028391
767,0.062306
768,0.041272
769,0.068191
770,0.040393
771,0.041726
772,0.053921
773,0.062086
774,0.031778
775,0.028710
776,0.126656
777,0.055495
778,0.313237
779,0.130445
780,0.325099
781,0.033998
782,0.449828
783,0.090483
784,0.026628
785,0.071723
786,0.081293
787,0.031582
788,0.033076
789,0.039365
790,0.059266
791,0.035549
792,0.038011
