Id,Class
1,0.409171
2,0.234515
3,0.325983
4,0.963851
5,0.215454
6,0.190077
7,0.196291
8,0.257240
9,0.163821
10,0.161453
11,0.208129
12,0.205348
13,0.199532
14,0.211459
15,0.215458
16,0.746730
17,0.229566
18,0.777630
19,0.161720
20,0.798197
21,0.186632
22,0.197808
23,0.212703
24,0.308072
25,0.840656
26,0.200947
27,0.423052
28,0.511035
29,0.363886
30,0.523252
31,0.633066
32,0.524262
33,0.719638
34,0.216924
35,0.316326
36,0.137828
37,0.234949
38,0.199402
39,0.175391
40,0.256771
41,0.725893
42,0.200555
43,0.421683
44,0.241139
45,0.290053
46,0.315941
47,0.349323
48,0.230366
49,0.260165
50,0.383780
51,0.307563
52,0.401819
53,0.365375
54,0.184292
55,0.219579
56,0.400189
57,0.257910
58,0.235647
59,0.158659
60,0.485313
61,0.357784
62,0.211794
63,0.421659
64,0.267356
65,0.379920
66,0.306734
67,0.258960
68,0.449715
69,0.286385
70,0.220036
71,0.315436
72,0.948030
73,0.353496
74,0.185601
75,0.810199
76,0.395677
77,0.245861
78,0.447130
79,0.711958
80,0.226806
81,0.183313
82,0.193795
83,0.276176
84,0.251043
85,0.700431
86,0.919988
87,0.325509
88,0.336706
89,0.171468
90,0.278422
91,0.421873
92,0.368111
93,0.373389
94,0.238358
95,0.143638
96,0.153073
97,0.152850
98,0.904889
99,0.330299
100,0.292190
101,0.771048
102,0.215408
103,0.174228
104,0.454845
105,0.201226
106,0.761199
107,0.769200
108,0.466751
109,0.209068
110,0.755435
111,0.359371
112,0.177528
113,0.292839
114,0.785719
115,0.746228
116,0.161358
117,0.285385
118,0.275446
119,0.332314
120,0.133417
121,0.445897
122,0.199245
123,0.176760
124,0.427524
125,0.211697
126,0.276634
127,0.145956
128,0.842275
129,0.100024
130,0.523263
131,0.487534
132,0.450067
133,0.849472
134,0.262010
135,0.331693
136,0.257943
137,0.246206
138,0.213833
139,0.383287
140,0.281570
141,0.467623
142,0.798819
143,0.283268
144,0.435977
145,0.255575
146,0.227850
147,0.861167
148,0.474514
149,0.733297
150,0.210255
151,0.209516
152,0.132997
153,0.166650
154,0.286700
155,0.386511
156,0.239949
157,0.328852
158,0.866789
159,0.088944
160,0.258030
161,0.778293
162,0.365325
163,0.309385
164,0.722352
165,0.215067
166,0.327112
167,0.321899
168,0.126736
169,0.620037
170,0.232413
171,0.314548
172,0.338866
173,0.288759
174,0.206524
175,0.273239
176,0.275837
177,0.437313
178,0.164894
179,0.145066
180,0.521251
181,0.775816
182,0.267728
183,0.371709
184,0.768425
185,0.191049
186,0.215389
187,0.491096
188,0.823681
189,0.364494
190,0.299458
191,0.150499
192,0.235845
193,0.284469
194,0.308401
195,0.622925
196,0.292206
197,0.208819
198,0.345367
199,0.312094
200,0.156900
201,0.170627
202,0.500429
203,0.604413
204,0.199278
205,0.337336
206,0.337107
207,0.423479
208,0.366169
209,0.183096
210,0.211146
211,0.241495
212,0.856955
213,0.223787
214,0.282601
215,0.889276
216,0.134688
217,0.657017
218,0.197532
219,0.315189
220,0.826629
221,0.090121
222,0.276904
223,0.296921
224,0.509615
225,0.440800
226,0.215204
227,0.135349
228,0.299497
229,0.194878
230,0.886810
231,0.263632
232,0.334440
233,0.290175
234,0.347024
235,0.204240
236,0.200546
237,0.178839
238,0.290202
239,0.190572
240,0.167372
241,0.690096
242,0.750663
243,0.301947
244,0.859572
245,0.809151
246,0.308996
247,0.360360
248,0.174638
249,0.292366
250,0.527452
251,0.060723
252,0.797512
253,0.295296
254,0.222212
255,0.250228
256,0.784629
257,0.289689
258,0.261741
259,0.157192
260,0.342310
261,0.238408
262,0.286836
263,0.150779
264,0.743087
265,0.399431
266,0.402376
267,0.864053
268,0.271874
269,0.623133
270,0.213479
271,0.271034
272,0.863476
273,0.141822
274,0.259479
275,0.450377
276,0.120911
277,0.807970
278,0.283881
279,0.328271
280,0.287354
281,0.195009
282,0.276701
283,0.269370
284,0.672159
285,0.326856
286,0.266871
287,0.215623
288,0.259372
289,0.555474
290,0.319520
291,0.225806
292,0.354020
293,0.851148
294,0.174652
295,0.371915
